,Unnamed: 0,symbol,companyName,exchange,industry,website,CEO,sector
0,0,MMM,3M Co.,New York Stock Exchange,Industrial Conglomerates,http://www.3m.com,Michael F. Roman,Producer Manufacturing
1,1,ABT,Abbott Laboratories,New York Stock Exchange,Medical Specialties,http://www.abbott.com,Robert B. Ford,Health Technology
2,2,ABBV,"AbbVie, Inc.",New York Stock Exchange,Pharmaceuticals: Major,http://www.abbvie.com,Richard A. Gonzalez,Health Technology
3,3,ABMD,"ABIOMED, Inc.",NASDAQ,Medical Specialties,http://www.abiomed.com,Michael R. Minogue,Health Technology
4,4,ACN,Accenture Plc,New York Stock Exchange,Information Technology Services,http://www.accenture.com,Julie Spellman Sweet,Technology Services
5,5,ATVI,"Activision Blizzard, Inc.",NASDAQ,Recreational Products,http://www.activisionblizzard.com,Robert A. Kotick,Consumer Durables
6,6,ADBE,"Adobe, Inc.",NASDAQ,Packaged Software,http://www.adobe.com,Shantanu Narayen,Technology Services
7,7,AMD,"Advanced Micro Devices, Inc.",NASDAQ,Semiconductors,http://www.amd.com,Lisa T. Su,Electronic Technology
8,8,AAP,"Advance Auto Parts, Inc.",New York Stock Exchange,Specialty Stores,http://www.advanceautoparts.com,Thomas R. Greco,Retail Trade
9,9,AES,The AES Corp.,New York Stock Exchange,Electric Utilities,http://www.aes.com,Andrés Ricardo Gluski Weilert,Utilities
10,10,AFL,"Aflac, Inc.",New York Stock Exchange,Life/Health Insurance,http://www.aflac.com,Daniel Paul Amos,Finance
11,11,A,"Agilent Technologies, Inc.",New York Stock Exchange,Biotechnology,http://www.agilent.com,Michael R. McMullen,Health Technology
12,12,APD,"Air Products & Chemicals, Inc.",New York Stock Exchange,Chemicals: Specialty,http://www.airproducts.com,Seifollah Ghasemi,Process Industries
13,13,AKAM,"Akamai Technologies, Inc.",NASDAQ,Internet Software/Services,http://www.akamai.com,Frank Thomson Leighton,Technology Services
14,14,ALK,"Alaska Air Group, Inc.",New York Stock Exchange,Airlines,http://www.alaskaair.com,Bradley D. Tilden,Transportation
15,15,ALB,Albemarle Corp.,New York Stock Exchange,Chemicals: Specialty,http://www.albemarle.com,Luke C. Kissam,Process Industries
16,16,ARE,"Alexandria Real Estate Equities, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.are.com,Peter M. Moglia / Stephen A. Richardson,Finance
17,17,ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,Biotechnology,http://www.alexion.com,Ludwig N. Hantson,Health Technology
18,18,ALGN,"Align Technology, Inc.",NASDAQ,Medical Specialties,http://www.aligntech.com,Joseph M. Hogan,Health Technology
19,19,ALLE,Allegion Plc,New York Stock Exchange,Building Products,http://www.allegion.com,David D. Petratis,Producer Manufacturing
20,20,AGN,Allergan Plc,New York Stock Exchange,Pharmaceuticals: Generic,http://www.allergan.com,Brenton L. Saunders,Health Technology
21,21,ADS,Alliance Data Systems Corp.,New York Stock Exchange,Data Processing Services,http://www.alliancedata.com,Ralph J Andretta,Technology Services
22,22,LNT,Alliant Energy Corp.,NASDAQ,Electric Utilities,http://www.alliantenergy.com,John O. Larsen,Utilities
23,23,ALL,The Allstate Corp.,New York Stock Exchange,Property/Casualty Insurance,http://www.allstate.com,Thomas Joseph Wilson,Finance
24,24,GOOGL,"Alphabet, Inc.",NASDAQ,Internet Software/Services,http://abc.xyz,Sundar Pichai,Technology Services
25,25,GOOG,"Alphabet, Inc.",NASDAQ,Internet Software/Services,http://abc.xyz,Sundar Pichai,Technology Services
26,26,MO,"Altria Group, Inc.",New York Stock Exchange,Tobacco,http://www.altria.com,,Consumer Non-Durables
27,27,AMZN,"Amazon.com, Inc.",NASDAQ,Internet Retail,http://www.amazon.com,Jeffrey P. Bezos,Retail Trade
28,28,AMCR,Amcor Plc,New York Stock Exchange,Containers/Packaging,http://www.amcor.com,Ronald Stephen Delia,Process Industries
29,29,AEE,Ameren Corp.,New York Stock Exchange,Electric Utilities,http://www.ameren.com,Warner L. Baxter,Utilities
30,30,AAL,"American Airlines Group, Inc.",NASDAQ,Airlines,http://www.aa.com,William Douglas Parker,Transportation
31,31,AEP,"American Electric Power Co., Inc.",New York Stock Exchange,Electric Utilities,http://www.aep.com,Nicholas K. Akins,Utilities
32,32,AXP,American Express Co.,New York Stock Exchange,Financial Conglomerates,http://www.americanexpress.com,Stephen J. Squeri,Finance
33,33,AIG,"American International Group, Inc.",New York Stock Exchange,Multi-Line Insurance,http://www.aig.com,Brian Duperreault,Finance
34,34,T,"AT&T, Inc.",New York Stock Exchange,Major Telecommunications,http://www.att.com,Randall L. Stephenson,Communications
35,35,AMT,American Tower Corp.,New York Stock Exchange,Real Estate Investment Trusts,http://www.americantower.com,Thomas A. Bartlett,Finance
36,36,AWK,"American Water Works Co., Inc.",New York Stock Exchange,Water Utilities,http://www.amwater.com,Walter J. Lynch,Utilities
37,37,AMP,"Ameriprise Financial, Inc.",New York Stock Exchange,Investment Banks/Brokers,http://www.ameriprise.com,James Michael Cracchiolo,Finance
38,38,ABC,AmerisourceBergen Corp.,New York Stock Exchange,Medical Distributors,http://www.amerisourcebergen.com,Steven H. Collis,Distribution Services
39,39,AME,"AMETEK, Inc.",New York Stock Exchange,Electrical Products,http://www.ametek.com,David A. Zapico,Producer Manufacturing
40,40,AMGN,"Amgen, Inc.",NASDAQ,Biotechnology,http://www.amgen.com,Robert A. Bradway,Health Technology
41,41,APH,Amphenol Corp.,New York Stock Exchange,Electronic Components,http://www.amphenol.com,Richard Adam Norwitt,Electronic Technology
42,42,ADI,"Analog Devices, Inc.",NASDAQ,Semiconductors,http://www.analog.com,Vincent T. Roche,Electronic Technology
43,43,ANSS,"ANSYS, Inc.",NASDAQ,Packaged Software,http://www.ansys.com,Ajei S. Gopal,Technology Services
44,44,ANTM,"Anthem, Inc.",New York Stock Exchange,Managed Health Care,http://www.antheminc.com,Gail Koziara Boudreaux,Health Services
45,45,AON,Aon Plc (Ireland),New York Stock Exchange,Insurance Brokers/Services,http://www.aon.com,,Finance
46,46,AOS,A. O. Smith Corp.,New York Stock Exchange,Building Products,http://www.aosmith.com,Kevin J. Wheeler,Producer Manufacturing
47,47,APA,Apache Corp.,New York Stock Exchange,Oil & Gas Production,http://www.apachecorp.com,John J. Christmann,Energy Minerals
48,48,AIV,Apartment Investment & Management Co.,New York Stock Exchange,Real Estate Investment Trusts,http://www.aimco.com,Terry Considine,Finance
49,49,AAPL,"Apple, Inc.",NASDAQ,Telecommunications Equipment,http://www.apple.com,Timothy Donald Cook,Electronic Technology
0,0,AMAT,"Applied Materials, Inc.",NASDAQ,Industrial Machinery,http://www.appliedmaterials.com,Gary E. Dickerson,Producer Manufacturing
1,1,APTV,Aptiv Plc,New York Stock Exchange,Auto Parts: OEM,http://www.aptiv.com,Kevin P. Clark,Producer Manufacturing
2,2,ADM,Archer-Daniels-Midland Co.,New York Stock Exchange,Agricultural Commodities/Milling,http://www.adm.com,Juan Ricardo Luciano,Process Industries
3,3,ARNC,Arconic Corp.,New York Stock Exchange,Aluminum,http://www.arconic.com,Timothy Donald Myers,Non-Energy Minerals
4,4,ANET,"Arista Networks, Inc.",New York Stock Exchange,Computer Communications,http://www.arista.com,Jayshree V. Ullal,Electronic Technology
5,5,AJG,Arthur J. Gallagher & Co.,New York Stock Exchange,Insurance Brokers/Services,http://ajg.com,Patrick J. Gallagher,Finance
6,6,AIZ,"Assurant, Inc.",New York Stock Exchange,Multi-Line Insurance,http://www.assurant.com,Alan B. Colberg,Finance
7,7,ATO,Atmos Energy Corp.,New York Stock Exchange,Gas Distributors,http://www.atmosenergy.com,J. Kevin Akers,Utilities
8,8,ADSK,"Autodesk, Inc.",NASDAQ,Packaged Software,http://www.autodesk.com,Andrew Anagnost,Technology Services
9,9,ADP,"Automatic Data Processing, Inc.",NASDAQ,Data Processing Services,http://www.adp.com,Carlos A. Rodriguez,Technology Services
10,10,AZO,"AutoZone, Inc.",New York Stock Exchange,Specialty Stores,http://www.autozone.com,William C. Rhodes,Retail Trade
11,11,AVB,"AvalonBay Communities, Inc.",New York Stock Exchange,Real Estate Investment Trusts,http://www.avaloncommunities.com,Timothy J. Naughton,Finance
12,12,AVY,Avery Dennison Corp.,New York Stock Exchange,Containers/Packaging,http://www.averydennison.com,Mitchell R. Butier,Process Industries
13,13,BKR,Baker Hughes Co.,New York Stock Exchange,Oilfield Services/Equipment,http://www.bhge.com,Lorenzo Simonelli,Industrial Services
14,14,BLL,Ball Corp.,New York Stock Exchange,Containers/Packaging,http://www.ball.com,John Arthur Hayes,Process Industries
15,15,BAC,Bank of America Corp.,New York Stock Exchange,Major Banks,http://www.bankofamerica.com,Brian T. Moynihan,Finance
16,16,BK,The Bank of New York Mellon Corp.,New York Stock Exchange,Major Banks,http://bnymellon.com,Thomas P. Gibbons,Finance
17,17,BAX,"Baxter International, Inc.",New York Stock Exchange,Medical Specialties,http://www.baxter.com,José E. Almeida,Health Technology
18,18,BDX,"Becton, Dickinson & Co.",New York Stock Exchange,Medical Specialties,http://www.bd.com,Thomas E. Polen,Health Technology
19,19,BRK.B,"Berkshire Hathaway, Inc.",New York Stock Exchange,Multi-Line Insurance,http://www.berkshirehathaway.com,Warren Edward Buffett,Finance
